(0, 0),
(5, 1350),
(10, 1850),
(20, 2225),
(25, 2750),
(30, 3050),
(35, 3000),
(40, 2750),
(45, 2350),
(60, 2025),
(70, 1775),
(80, 1575),
(90, 1400),
(100, 1260),
(120, 1050),
(140, 920),
(160, 810),
(180, 730),
(200, 650),
(250, 520),
(300, 420),
(350, 380),
(400, 300)
